A201_10-001-09	N'eus forzh ; 	N’eus forzh ; 	# nøs fɔrs #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-001-10	Herle a c'hedas c'hoazh un tammig , o soñjal e vije degouezhet marteze Anna Pennaneac'h raktal e vije aet kuit .	Herle a c’hedas c’hoazh un tammig, o soñjal e vije degouezhet marteze Anna Pennaneac’h raktal e vije aet kuit.	# 'ɛr.le a 'xe.das xwaz œn 'tɑ̃.mik # o 'sõ.ʒal e 'vi.ʒe de.'gwe.zɛd mar.'te.ze 'ɑ̃.na pɛ.nɑ̃.'ne.ax 'rak.tɑl e 'vi.ʒe ɛ:t kɥit #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-002-00	Tostaat a rae pelloc'h dek eur . 	Tostaat a rae pelloc’h dek eur. 	# 'to.stɑd a rɛ: 'pɛ.lɔx deg œ:r #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-002-01	Degouezhet oa a-benn neuze un nebeud bagoùigoù a oa bet staget o chadenn el lagadennoù 'hed ar chaoser . 	Degouezhet oa a-benn neuze un nebeud bagoùigoù a oa bet staget o chadenn el lagadennoù ‘hed ar chaoser. 	# de.'gwe.zɛd wa 'a.bɛn 'nø.ze œn 'ne.bøt bag.u.'ig.u a wa bet 'stɑg.ɛd o 'ʃɑ.dɛn el hed ar 'ʃɔ.sɛr #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-002-02	Daou , tri martolod e oant e pep bag , tud kozh pe grennarded , 	Daou, tri martolod e oant e pep bag, tud kozh pe grennarded, 	# dɔw # tri: mar.'to.lod e wɑ̃nd e pep bɑ:k # ty:t kos pe grɛ.'nar.dɛt #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-002-03	o puniñ o linennoù reun en-dro d'ar pantolioù spoue , 	o puniñ o linennoù reun en-dro d’ar pantolioù spoue, 	# o 'py.ni o li.'nɛ.nu rø:n 'en.dro dar pɑ̃n.'tɔ.lju spwe #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-002-04	pe oc'h ober un taol skub diwezhañ d'ar pont a-raok sevel o faneroù war ar chaoser . 	pe oc’h ober un taol skub diwezhañ d’ar pont, a-raok sevel o faneroù war ar chaoser. 	# pe ɔh 'o.bɛr œn tɔ:l sky:p di.'we.zɑ̃ dar põnd 'a.rɔk 'se.vɛl o fɑ̃.'ne.ru war ar 'ʃɔ.sɛr #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-002-05	Pep hini a oa da vat gant e labour, ha ger ebet ne rannent kenetrezo .	Pep hini a oa da vat gant e labour, ha ger ebet ne rannent kenetrezo.	# pep 'hi.ni a wa dɑ vat gɑ̃n e 'lɑ.bur # a ge:r 'e.bet ne 'rɑ̃.nɛn ke.ne.'tre.zo #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-003-00	Ar merc'hed , gwerzhourezed ar c'hoc'hu , 	Ar merc’hed, gwerzhourezed ar c’hoc’hu, 	# ar 'mɛrx.ɛt # gwɛr.zu.'re.zɛd ar 'xoh.y #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-003-01	a oa tostaet war o fouezig , o stamm bepred ganto en o daouarn .	a oa tostaet war o fouezig, o stamm bepred ganto en o daouarn.	# a wa 'tɔ.stɛd war o 'fwe.zik # o stɑ̃m 'be.pret 'gɑ̃n.to en o 'dɔ.warn #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-004	« Pesketaerezh vat a zo , paotred ? » a c'houlennas unan .	« Pesketaerezh vat a zo, paotred ? » a c’houlennas unan.	# pe.ske.'tɛ.rez vad a zo # 'pɔ.trɛt # a xu.'lɛ.naz 'y.nɑ̃n #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-005	Ger ebet . Ar baotred a gendalc'he , pe gant o skub , pe gant o linennoù .	Ger ebet. Ar baotred a gendalc’he, pe gant o skub, pe gant o linennoù.	# ge:r 'e.bet # ar 'bɔ.trɛd a gɛn.'dalx.e # pe gɑ̃n o sky:p # pe gɑ̃n o li.'nɛ.nu #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-006	« Pegement an tamm , Janmar ? »	« Pegement an tamm, Janmar ? »	# peg.'e.mɛnd ɑ̃n tɑ̃m # 'ʒɑ̃n.mɑr #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-007	An den en e zaoubleg o tennañ e vrilli a-zindan ar pont , ne savas ket zoken e zargreiz da respont .	An den en e zaoubleg o tennañ e vrilli a-zindan ar pont, ne savas ket zoken e zargreiz da respont. 	# ɑ̃n de:n en e 'zɔw.bleg o 'tɛ.nɑ̃ e 'vri.li a.'zin.dɑ̃n ar põnt # ne 'sa.vas ket 'zo.ken e 'zarg.rɛjs dɑ 'rɛ.spõnt #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-008	« Kaoc'h zo en da zivskouarn , Janmar ? Pegement al loen ? »	« Kaoc’h zo en da zivskouarn, Janmar ? Pegement al loen ? »	# kɔx zo en dɑ ziw.'sku.arn # 'ʒɑ̃n.mɑr # peg.'e.mɛnd al lwẽ:n #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-009	« Va c'houilhoù ! » emezañ kreñv . « Ar pesked-mañ ne vint ket deoc'h da werzhañ ! »	« Va c’houilhoù ! » emezañ kreñv. « Ar pesked-mañ ne vint ket deoc’h da werzhañ ! »	# va 'xuʎ.u # e.'me.sɑ̃ krẽ: # ar 'pe.sked.mɑ̃ ne vin ket 'de.ɔx dɑ 'wɛr.zɑ̃ #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-010	« Ampoezon ! Dalc'h da gouilhoù ha da besked ivez ! »	« Ampoezon ! Dalc’h da gouilhoù ha da besked ivez ! »	# ɑ̃m.'pwe.zõn # dalx dɑ gu.'iʎ.u a dɑ 'be.skɛd 'i.ves #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-011	Ha pep hini eus ar merc'hed da bellaat , da c'hedal un nebeud bagoùigoù all .	Ha pep hini eus ar merc’hed da bellaat, da c’hedal un nebeud bagoùigoù all.	# a pep 'hi.ni øz ar 'mɛrx.ɛd dɑ 'bɛ.lɑt # dɑ 'xe.dal œn 'ne.bøt bag.u.'ig.u al #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-012-00	Genver mil nav c'hant unan ha daou ugent 	Genver 1941 	# 'gɛn.vɛr mil naw xɑ̃nd 'y.nɑ̃n a dɔw 'yg.ɛnt #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-012-01	( SKRID , niverenn pevarzek , mil nav c'hant seitek ha tri ugent )	(SKRID n. 14, 1977)	# skri:t # ni.'ve.rɛn pe.'var.zek # mil naw xɑ̃n 'sɛj.teg a tri: 'yg.ɛnt #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-100	Jarl Priel	JARL PRIEL	# ʒarl 'pri.jɛl #	1	1	1	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-101	Ar Spontailh ( arvest daou , diviz pemzek )	AR SPONTAILH (arvest II, diviz XV)	# ar 'spõn.taʎ # 'ar.vest dɔw # 'di.vis 'pɛm.zek #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-102	Fanch : Ha gout 'ouzoc'h piv am eus kavet e toull ar porzh . Biken ne gredfec'h !	FANCH : Ha gout ‘ouzoc’h piv am eus kavet e toull ar porzh. Biken ne gredfec’h !	# fɑ̃nʃ # a 'u.sɔx piw ɑ̃m øs 'ka.ved e tul ar pɔrs # 'bi.kɛn ne 'grɛd.fɛx #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-103	God : Piv 'ta , va Doue ?	GOD : Piv ‘ta, va Doue ?	# go:t # tɑ # va 'du.e #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-104-00	Fanch : Ar spontailh ! … N'on ket o kontañ kaozioù … ho spontailh warlene … 	FANCH : Ar spontailh !... N’on ket o kontañ kaozioù... ho spontailh warlene... 	# fɑ̃nʃ # ar 'spõn.taʎ # nõn ked o 'kõn.tɑ̃ 'kɔ.zju # o 'spõn.taʎ war.'le.ne #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-104-01	Piv an diaoul en deus taolet du-hont an dra-se ? 	Piv an diaoul en deus taolet du-hont an dra-se ? 	# piw ɑ̃n djɔwl en døs 'tɔ.lɛt 'dy.õnd ɑ̃n 'drɑ.se #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-104-02	N'edo ket aze p'oan aet gant an Aotrou Salaün , anez-se he dije graet e gazeg ul lamm-treuz … 	N’edo ket aze p’oan aet gant an Aotrou Salaün, anez-se he dije graet e gazeg ul lamm-treuz... 	# 'ne.do ked 'ɑ.ze pwɑ̃n ɛ:t gɑ̃n ɑ̃n 'ɔ.tru 'sa.laɥn # 'ɑ̃.nez.se e 'diʃ.e grɛ:d e 'gɑ.zɛg œl 'lɑ̃m.trøs #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-104-03	Hanter-c'holoet eo gant an erc'h , ha war var ec'h on bet da gouezhañ warnañ a-hed va c'horf …	Hanter-c’holoet eo gant an erc’h, ha war var ec’h on bet da gouezhañ warnañ a-hed va c’horf...	# hɑ̃n.terx.o.'lo.ɛd ɛw gɑ̃n ɑ̃n ɛrx # a war vɑr eh õn bet dɑ 'gwe.zɑ̃ 'war.nɑ̃ 'ah.et va xɔrf #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-105-00	God ( oc'h ober sin ar groaz ) : De profundis clamavi ad te , Domine … 	GOD (oc’h ober sin ar groaz) : De profundis clamavi ad te, Domine... 	# go:t # ɔh 'o.bɛr si:n ar grwas # de pro.'fyn.dis klɑ̃.'ma.vi at te: # dõ.'mi.ne #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-105-01	( Kenderc'hel a ra da bediñ a vouezh izel , Herri a lam e dog , hag a van gant e benn stouet . )	(Kenderc’hel a ra da bediñ a vouezh izel, Herri a lam e dog hag a van gant e benn stouet.)	# kɛn.'dɛrx.ɛl a ra dɑ 'be.di a vwe:z 'i.zɛl # 'hɛ.ri a lɑ̃m e dok # ag a vɑ̃:n gɑ̃n e bɛn 'stu.ɛt #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-106-00	Fanch : Petra 'zo ? ( En ur dennañ ivez e dog . ) 	FANCH : Petra ‘zo ? (En ur dennañ ivez e dog.) 	# fɑ̃nʃ # zo # en œr 'dɛ.nɑ̃ 'i.vez e dok #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-106-01	Neuze 'ta , kaer am eus bet redek , erru on re ziwezhat ? … Marv eo ar bugel ? 	Neuze ‘ta, kaer am eus bet redek, erru on re ziwezhat ?... Marv eo ar bugel ? 	# 'nø.ze tɑ # kɛ:r ɑ̃m øs bet 're.dɛk # 'ɛ.ry õn re: zi.'we.zat # 'mɑ.ro ɛw ar 'byg.ɛl #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-106-02	( En ur ober sin ar groaz . ) Ra gresko Doue e levenez er baradoz ! …	(En ur ober sin ar groaz.) Ra gresko Doue e levenez er baradoz !...	# en œr 'o.bɛr si:n ar grwas # ra 'gre.sko 'du.e e le.'ve.nɛz er ba.'rɑ.dos #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-107	Herri : Bez dinec'h , kalz gwelloc'h ec'h eo bremañ .	HERRI : Bez dinec’h, kalz gwelloc’h ec’h eo bremañ.	# 'hɛ.ri # be:s 'di.nex # kals 'gwɛ.lɔh eh ɛw 'bre.mɑ̃ #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-108-00	Fanch : Daonet e vo sklisenn va ene ! Lakaet hoc'h eus din ur c'horadenn c'hwen em loeroù … 	FANCH : Daonet e vo sklisenn va ene ! Lakaet hoc’h eus din ur c’horadenn c’hwen em loeroù... 	# fɑ̃nʃ # 'dɑ̃w.nɛd e vo 'skli.sɛn va 'e.ne # 'la.kɛt oh øs din œr xo.'rɑ.dɛn xwɛn ɛm 'lwɛ.ru #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-108-01	Dalit , setu amañ an dourenn …	Dalit, setu amañ an dourenn...	# 'dɑ.lit # 'se.ty 'ɑ̃.mɑ̃ ɑ̃n 'du.rɛn #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-109-00	God ( en ur ober sin ar groaz , echu ganti he fedenn ) : 	GOD (en ur ober sin ar groaz, echu ganti he fedenn) : 	# go:t # en œr 'o.bɛr si:n ar grwas # 'eʃ.y 'gɑ̃n.ti e 'fe.dɛn #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-109-01	Gra ganti evel ma kari …	Gra ganti evel ma kari...	# grɑ: 'gɑ̃n.ti 'e.vɛl ma 'kɑ.ri #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-110-00	Fanch : M'am bije gouvezet … 	FANCH : M’am bije gouvezet... 	# fɑ̃nʃ # mɑ̃m 'bi.ʒe gu.'ve.zɛt #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-110-01	N'eus forzh , araok tommañ va zreid , ha sec'hañ va bragezennoù , ec'h an raktal da blediñ gant ar spontailh …	N’eus forzh, araok tommañ va zreid, ha sec’hañ va bragezennoù, ec’h an raktal da blediñ gant ar spontailh...	# nøs fɔrs # 'a.rɔk 'tɔ.mɑ̃ va zrɛjt # a 'seh.ɑ̃ va brag.e.'zɛ.nu # eh ɑ̃n 'rak.tɑl dɑ 'ble.di gɑ̃n ar 'spõn.taʎ #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-111	God : Petra fell dit ober ?	GOD : Petra fell dit ober ?	# go:t # 'pe.tra fɛl di:d 'o.bɛr #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-112	Fanch : Feiz ! bountañ ennañ ur forc'h hag e stlepel war ar bern teil …	FANCH : Feiz ! bountañ ennañ ur forc’h hag e stlepel war ar bern teil...	# fɑ̃nʃ # fɛjs # 'bun.tɑ̃ 'ɛ.nɑ̃ œr fɔrx ag e 'stle.pɛl war ar bɛrn tɛjl #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-113	Herri : Chom aze !	HERRI : Chom aze !	# 'hɛ.ri # ʃɔm 'ɑ.ze #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-114	Fanch : Petra 'zo adarre ?	FANCH : Petra ‘zo adarre ?	# fɑ̃nʃ # zo a.'da.re #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-115	God : Arabat eo stekiñ outañ !	GOD : Arabat eo stekiñ outañ !	# go:t # a.'rɑ.bad ɛw 'ste.ki 'u.tɑ̃ #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-116	Fanch : Abalamour da betra ? N'eo ket , moarvat relegoù ur sant ?	FANCH : Abalamour da betra ? N’eo ket, moarvat, relegoù ur sant ?	# fɑ̃nʃ # a.ba.'lɑ̃.mur dɑ 'be.tra # new ket # 'mwar.vɑt re.'lɛg.u œr sɑ̃nt #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-117	God : Komz a raimp war se , da dad ha me …	GOD : Komz a raimp war se, da dad ha me...	# go:t # kõmz a rajm war se # dɑ dɑ:t a me: #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-118-00	Fanch : Ha da c'hortoz , mar degouezh da unan bennak terriñ e c'houzoug war ar c'hagn-se ? … 	FANCH : Ha da c’hortoz, mar degouezh da unan bennak terriñ e c’houzoug war ar c’hagn-se ?... 	# fɑ̃nʃ # a dɑ 'xɔr.tɔs # mɑ:r 'de.gwez dɑ 'y.nɑ̃n 'bɛ.nak 'tɛ.ri e 'xu.zuk war ar 'xɑ̃ɲ.se #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-118-01	War an teil , eno emañ e lec'h ! …	War an teil, eno emañ e lec’h !...	# war ɑ̃n tɛjl # 'e.no 'e.mɑ̃ e lɛx #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-119	Herri : Pegoulz e krogo ar genou bras-mañ da sentiñ hep goulenn penaos na petra ?	HERRI : Pegoulz e krogo ar genou bras-mañ da sentiñ hep goulenn penaos na petra ?	# 'hɛ.ri # 'peg.ulz e 'krog.o ar 'ge.nu 'brɑz.mɑ̃ dɑ 'sɛn.ti hep 'gu.lɛn 'pe.nos na 'pe.tra #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-120-00	Fanch : Mat , mat ! O klask ober un tamm labour evidoc'h edon … 	FANCH : Mat, mat ! O klask ober un tamm labour evidoc’h edon... 	# fɑ̃nʃ # mɑ:t # mɑ:t # o klask 'o.bɛr œn tɑ̃m 'lɑ.bur e.'vi.dɔh 'e.dõn #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-120-01	Met tommoc'h eget bremañ e vo , moarvat , an deiz e teuin a-benn da blijout deoc'h … 	Met tommoc’h eget bremañ e vo, moarvat, an deiz e teuin a-benn da blijout deoc’h... 	# mɛt 'tõ.mɔh 'eg.et 'bre.mɑ̃ e vo # 'mwar.vɑt # ɑ̃n dɛjz e 'tø.in 'a.bɛn dɑ 'bli.ʒut 'de.ɔx #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-120-02	( Anna a zeu tre . )	(Anna a zeu tre.)	# 'ɑ̃.na a sø tre: #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-121-00	mil nav c'hant eizh ha daou ugent - mil nav c'hant hanter kant 	1948-1950 	# mil naw xɑ̃nd ɛjs a dɔw 'yg.ɛnt # mil naw xɑ̃nt 'hɑ̃n.tɛr kɑ̃nt #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-121-01	( pajenn unan warn-ugent betek tri warn-ugent , 	(p. 21 betek 23, 	# iks # 'pɑ.ʒɛn 'y.nɑ̃n war.'nyg.ɛn 'be.tek tri: war.'nyg.ɛnt #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-121-02	ha kant daou ha tri ugent betek kant pevar ha tri ugent )	ha 162 betek 164)	# a kɑ̃n dɔw a tri: 'yg.ɛn 'be.tek kɑ̃n 'pe.var a tri: 'yg.ɛnt #	1	1	0	session_2/dialogs/documents/02_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH_2.txt
A201_10-200	Jarl Priel	JARL PRIEL	# ʒarl 'pri.jɛl #	1	1	1	session_2/dialogs/documents/03_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH.txt
A201_10-201	Ar Spontailh ( arvest kentañ , diviz daou )	AR SPONTAILH (arvest kentañ, diviz II)	# ar 'spõn.taʎ # 'ar.vest 'kɛn.tɑ̃ # 'di.vis dɔw #	1	1	0	session_2/dialogs/documents/03_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH.txt
A201_10-202-00	Herri : Ro peoc'h din ! 	HERRI : Ro peoc’h din ! 	# 'hɛ.ri # ro: 'pe.ɔx din #	1	1	0	session_2/dialogs/documents/03_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH.txt
A201_10-202-01	pa oar ur plac'h yaouank ren he buhez evel m'eo dleet … ( Evañ a ra ur banne . ) 	pa oar ur plac’h yaouank ren he buhez evel m’eo dleet... (Evañ a ra ur banne.) 	# pa wɑ:r œr plah 'jɔ.wɑ̃ŋg re:n e 'by.ɛz 'e.vɛl mew 'dle.ɛt # 'e.vɑ̃ a ra œr 'bɑ̃.ne #	1	1	0	session_2/dialogs/documents/03_Antho_breton_3_dialogs_and_texts_1-AR_SPONTAILH.txt
