L101_221	Strategiezh , azderc'hel .	Strategiezh, azderc'hel.	# stra.teg.'i.ɛs # az.'dɛrx.ɛl #	1	1	0	Skridoù_PHM.txt		cov-1
L101_237	Tud a bluenn al lennegezh , e penn uhelañ ar skritell .	Tud a bluenn al lennegezh e penn uhelañ ar skritell.	# ty:d a 'bly.ɛn al lɛ.'neg.ɛs # e pɛn y.'ɛ.lɑ̃ ar 'skri.tɛl #	1	1	0	Skridoù_PHM.txt		cov-4
L101_238	Tud ha loened .	Tud ha loened.	# ty:t a 'lwẽ.ned #	1	1	0	Skridoù_PHM.txt		cov-1
L102_023	Ar bloaz war-lerc'h , e oan tremenet er rummad a-us : ar re dindan tri bloaz warn-ugent .	Ar bloaz war-lerc'h e oan tremenet er rummad a-us : ar re dindan 23 bloaz.	# ar blwɑ:s 'war.lɛrx # e wɑ̃:n tre.'me.nɛd er 'ry.mad 'a.ys # ar re: 'din.dɑ̃n tri: blwɑ:s war.'nyg.ɛnt #	1	1	0	Skridoù_PHM.txt		cov-1
L102_025	Ar maouezed c'halian a veze ganto perlez gwer dija .	Ar maouezed c'halian a veze ganto perlez gwer dija.	# ar mɔ.'we.zɛt 'xa.ljɑ̃n a 've.ze 'gɑ̃n.to 'pɛr.lɛs gwe:r 'di.ʒɑ #	1	1	0	Skridoù_PHM.txt		cov-6
L102_027	Ar pevarzueg .	ar pevarzueg.	# ar pe.var.'zy.ɛk #	1	1	0	Skridoù_PHM.txt		cov-1
L102_034	Bep bloaz , e vot ar c'huzul-kêr budjed ar gumun .	Bep bloaz e vot ar c'huzul-kêr budjed ar gumun.	# bep blwɑ:s # e vɔd ar xy.'zyl.kɛr 'by.dʒed ar 'gy.myn #	1	1	0	Skridoù_PHM.txt		cov-7
L102_039	Boest kendiviz model .	Boest kendiviz model.	# bwest kɛn.'di.vis 'mo.dɛl #	1	1	0	Skridoù_PHM.txt		cov-4
L102_081	E-pad an Dispac'h e voe gwerzhet , evel mad broadel .	E-pad an Dispac'h e voe gwerzhet evel mad broadel.	# 'e.pɑd ɑ̃n 'di.spah e vwe: 'gwɛr.zɛt # 'e.vɛl mɑt bro.'ɑ.dɛl #	1	1	0	Skridoù_PHM.txt		cov-5
L102_086	Er C'hornôg e veze implijet ar ger Koc'hu , da envel ul lec'h ma veze dalc'het ar marc'had .	Er C'hornôg e veze implijet ar ger Koc'hu da envel ul lec'h ma veze dalc'het ar marc'had.	# er 'xɔr.nog e 've.ze im.'pli.ʒɛd ar ge:r 'koh.y # dɑ 'en.vɛl œl lɛx ma 've.ze 'dalx.ɛd ar 'marx.at #	1	1	0	Skridoù_PHM.txt		cov-6
L102_092	Etre daou vor .	Etre daou vor !	# 'e.tre dɔw vor #	1	1	0	Skridoù_PHM.txt		cov-2
L102_104	Goude bezañ bet ur Stad kevreadel e-pad ur prantad , ez eas Tchekoslovakia da get , e mil nav c'hant trizek ha pevar-ugent .	Goude bezañ bet ur Stad kevreadel e-pad ur prantad ez eas Tchekoslovakia da get e 1993.	# 'gu.de 'be.zɑ̃ bed œr stɑ:t ke.vre.'ɑ.dɛl 'e.pɑd œr 'prɑ̃n.tat # ez 'e.as tʃe.kɔ.zlo.va.'ki.a dɑ get # e mil naw xɑ̃n 'tri.zeg a pe.va.'ryg.ɛnt #	1	1	0	Skridoù_PHM.txt		cov-6
L102_114	Hag anavezet e vo gwerzioù Breizh , evel glad dizanvezel eus ar bed ?	Hag anavezet e vo gwerzioù Breizh evel glad dizanvezel eus ar bed ?	# ag ɑ̃.nɑ.'ve.zɛd e vo 'gwɛr.zju brɛjs # 'e.vɛl glɑt di.zɑ̃n.'ve.zɛl øz ar be:t #	1	1	0	Skridoù_PHM.txt		cov-2
L102_115	Hañv .	Hañv.	# hɑ̃: #	1	1	0	Skridoù_PHM.txt		cov-1
L102_141	Kig-sall .	Kig-sall.	# 'ki.ksal #	1	1	0	Skridoù_PHM.txt		cov-6
L102_146	Krafoù diseurt .	Krafoù diseurt.	# 'kra.fu 'di.sœrt #	1	1	0	Skridoù_PHM.txt		cov-6
L102_148	Kumun Ploveilh : un nebeud sifroù .	Kumun Ploveilh : un nebeud sifroù.	# 'ky.myn 'plo.vɛjl # œn 'ne.bøt 'si.fru #	1	1	0	Skridoù_PHM.txt		cov-4
L102_151	Lakaat an divyezhegezh e kreiz mont en-dro diabarzh ho framm .	Lakaat an divyezhegezh e kreiz mont en-dro diabarzh ho framm.	# 'la.kɑd ɑ̃n diw.je.'zɛg.ez e krɛjs mõnd 'en.dro di.'a.bars o frɑ̃m #	1	1	0	Skridoù_PHM.txt		cov-5
L102_152	Lenn skramm leun .	Lenn skramm leun.	# lɛn skrɑ̃m lø:n #	1	1	0	Skridoù_PHM.txt		cov-2
L102_153	Livioù an teul .	Livioù an teul.	# 'liw.ju ɑ̃n tø:l #	1	1	0	Skridoù_PHM.txt		cov-2
L102_155	Ma .	Ma.	# ma #	1	1	0	Skridoù_PHM.txt		cov-5
L102_158	Maouez he levran .	Maouez he levran.	# 'mɔ.wɛs e 'le.vrɑ̃n #	1	1	0	Skridoù_PHM.txt		cov-5
L102_171	Navarin kig-leue , kreunennigoù gant perisilh .	Navarin kig-leue, kreunennigoù gant perisilh.	# na.'vɑ.rin 'kig.lwe # krø.nɛ.'nig.u gɑ̃n pɛ.'ri.siʎ #	1	1	0	Skridoù_PHM.txt		cov-3
L102_179	Ostel ar Moneiz  .	Ostel ar Moneiz.	# 'o.stɛl ar 'mõ.nɛjs #	1	1	0	Skridoù_PHM.txt		cov-1
L102_192	Priz : pemp virgulenn mann mann Euro , dre vugel .	Priz : 5,00 Euro dre vugel.	# pri:s # pɛm virg.'y.lɛn mɑ̃n mɑ̃n 'ø.ro # dre 'vyg.ɛl #	1	1	0	Skridoù_PHM.txt		cov-2
L102_202	Savet e vezent dreist-holl er c'harterioù kenwerzh , e kêrioù brudet evit o foarioù , hag o marc'hadoù .	Savet e vezent dreist-holl er c'harterioù kenwerzh e kêrioù brudet evit o foarioù hag o marc'hadoù.	# 'sɑ.vɛd e 've.zɛn 'drɛj.stɔl er xar.'tɛr.ju 'kɛ.nwɛrs # e 'kɛr.ju 'bry.dɛd 'e.vid o 'fwɑr.ju # ag o marx.'ɑ.du #	1	1	0	Skridoù_PHM.txt		cov-3
L102_203	Savet e vez ur gevrat gant ar familh , diouzh hec'h ezhommoù .	Savet e vez ur gevrat gant ar familh diouzh hec'h ezhommoù.	# 'sɑ.vɛd e ve:z œr 'ge.vrad gɑ̃n ar 'fɑ̃.miʎ # djus eh e.'zõ.mu #	1	1	0	Skridoù_PHM.txt		cov-6
L102_210	Sevel ur Greizenn brezegennoù .	Sevel ur Greizenn brezegennoù.	# 'se.vɛl œr 'grɛj.zɛn bre.zeg.'ɛ.nu #	1	1	0	Skridoù_PHM.txt		cov-6
L102_211	Sevel ur palez , ur raktres cheñch-dicheñch .	Sevel ur palez, ur raktres cheñch-dicheñch.	# 'se.vɛl œr 'pɑ.lɛs # œr 'rak.trɛs ʃɛ̃ʒ.'diʃ.ɛ̃ʃ #	1	1	0	Skridoù_PHM.txt		cov-6
L102_213	Skignet e vo tamm-ha-tamm war skoroù ar gumuniezh .	Skignet e vo tamm-ha-tamm war skoroù ar gumuniezh.	# 'skiɲ.ɛd e vo tɑ̃.'ma.tɑ̃m war 'sko.ru ar gy.my.'ni.ɛz #	1	1	0	Skridoù_PHM.txt		cov-5
L102_227	Te du bio dre vezhin ha bergamotez .	Te du bio dre vezhin ha bergamotez.	# te: dy bjo dre 've.zin a bɛrg.a.'mo.tɛs #	1	1	0	Skridoù_PHM.txt		cov-5
L102_229	Testenn skouer .	Testenn skouer.	# 'te.stɛn skwe:r #	1	1	0	Skridoù_PHM.txt		cov-3
L102_234	Troidigezh war ar prim : ugent selaouell a c'heller amprestañ bremañ .	Troidigezh war ar prim : 20 selaouell a c'heller amprestañ bremañ.	# tro.i.'dig.ɛs war ar prim # 'yg.ɛn se.'lɔ.wɛl a 'xɛ.lɛr ɑ̃m.'pre.stɑ̃ 'bre.mɑ̃ #	1	1	0	Skridoù_PHM.txt		cov-4
L102_239	Un dachenn a-bouez bras all , eo diorren an ober e brezhoneg er gêr .	Un dachenn a-bouez bras all eo diorren an ober e brezhoneg er gêr.	# œn 'daʃ.ɛn 'a.bwes brɑ:z al # ɛw di.'ɔ.rɛn ɑ̃n 'o.bɛr e bre.'zõ.nɛg er gɛr #	1	1	0	Skridoù_PHM.txt		cov-2
L102_241	Un nebeud degouezhioù dibar .	Un nebeud degouezhioù dibar.	# œn 'ne.bøt de.'gwe.zju 'di.bar #	1	1	0	Skridoù_PHM.txt		cov-5
L102_242	Un nebeud lec'hiennoù brezhonek a ginnig c'hoarioù ivez , met mankout a ra c'hoarioù nevez , ganto un etrefas hoalus .	Un nebeud lec'hiennoù brezhonek a ginnig c'hoarioù ivez met mankout a ra c'hoarioù nevez ganto un etrefas hoalus.	# œn 'ne.bøt lɛh.'jɛ.nu bre.'zõ.nɛg a 'gi.nik 'xwar.ju 'i.ves # mɛt 'mɑ̃ŋ.kud a ra 'xwar.ju 'ne.ves # 'gɑ̃n.to œn e.'tre.faz 'hwɑ.lys #	1	1	0	Skridoù_PHM.txt		cov-1
L102_243	Ur c'hamp chaseourien .	Ur c'hamp chaseourien.	# œr xɑ̃m ʃa.'sewr.jɛn #	1	1	0	Skridoù_PHM.txt		cov-2
L102_245	Ur fest war an ton bras e oa , gant pemzek mil a dud o kemer perzh .	Ur fest war an ton bras e oa, gant 15 000 a dud o kemer perzh.	# œr fest war ɑ̃n tõ:n brɑ:z e wa # gɑ̃n 'pɛm.zeg mil a dy:d o 'ke.mɛr pɛrs #	1	1	0	Skridoù_PHM.txt		cov-4
L103_002	Un devezh .	1 devezh.	# œn 'de.vɛs #	1	1	0	Skridoù_PHM.txt		cov-2
L103_010	Aet e oan davetañ , un toullad mizioù goude .	Aet e oan davetañ un toullad mizioù goude.	# ɛ:d e wɑ̃:n da.'ve.tɑ̃ # œn 'tu.lat 'mi.zju 'gu.de #	1	1	0	Skridoù_PHM.txt		cov-7
L103_012	Al labourioù el Lodennoù boutin pe en takadoù diavaez .	Al labourioù el Lodennoù boutin pe en takadoù diavaez.	# al lɑ.'bur.ju el lo.'dɛ.nu 'bu.tin pe en ta.'ka.du di.'a.vɛs #	1	1	0	Skridoù_PHM.txt		cov-5
L103_019	Anv ar vaksin .	Anv ar vaksin.	# 'ɑ̃.no ar 'va.ksin #	1	1	0	Skridoù_PHM.txt		cov-5
L103_022	« Ar binvioù broadel » a vez kanmeulet e skridoù a-leizh .	Ar « binvioù broadel » a vez kanmeulet e skridoù a-leizh.	# # ar bin.'vi.u bro.'ɑ.dɛl # a ve:s kɑ̃n.'mø.lɛd e 'skri.du 'a.lɛjs #	1	1	0	Skridoù_PHM.txt		cov-1
L103_033	Babiged en dour .	Babiged en dour.	# ba.'big.ɛd en du:r #	1	1	0	Skridoù_PHM.txt		cov-7
L103_034	Bagoù niverus a liamm norzh Europa ouzh ar su .	Bagoù niverus a liamm norzh Europa ouzh ar su.	# 'bɑg.u ni.'ve.ryz a ljɑ̃m nɔrz ø.'ro.pa uz ar sy: #	1	1	0	Skridoù_PHM.txt		cov-2
L103_043	Bugaligoù o c'hoarzhin .	Bugaligoù o c'hoarzhin.	# byg.a.'lig.u o 'xwar.zin #	1	1	0	Skridoù_PHM.txt		cov-2
L103_045	Chomlec'h post .	Chomlec'h post.	# 'ʃɔm.lɛx post #	1	1	0	Skridoù_PHM.txt		cov-1
L103_063	Diskouez lec'hiadur an teulioù ( daou dre bajenn ) .	Diskouez lec'hiadur an teulioù (2 dre bajenn).	# 'di.skwɛs leh.'jɑ.dyr ɑ̃n 'tø.lju # dɔw dre 'bɑ.ʒɛn #	1	1	0	Skridoù_PHM.txt		cov-4
L103_078	Emdreiñ en e red-micher , kaout barregezhioù nevez , cheñch micher .	Emdreiñ en e red-micher, kaout barregezhioù nevez, cheñch micher…	# 'em.drɛj en e red.'miʃ.ɛr # kɔwt ba.reg.'ɛ.zju 'ne.ves # ʃɛ̃ʃ 'miʃ.ɛr #	1	1	0	Skridoù_PHM.txt		cov-5
L103_080	Emsavidi a vez dalc'hmat !	Emsavidi a vez dalc'hmat !	# em.sɑ.'vi.di a ve:s 'dalx.mɑt #	1	1	0	Skridoù_PHM.txt		cov-6
L103_085	Ensoc'hañ ar roadennoù en teul .	Ensoc'hañ ar roadennoù en teul.	# en.'sɔh.ɑ̃ ar ro.a.'dɛ.nu en tø:l #	1	1	0	Skridoù_PHM.txt		cov-3
L103_093	Etre miz Genver daou vil,  ha miz Kerzu daou vil c'hwec'h , eo bet Ajañs Sevenadurel Breizh .	Etre miz Genver 2000 ha miz Kerzu 2006 eo bet Ajañs Sevenadurel Breizh.	# 'e.tre mi:s 'gɛn.vɛr dɔw vi:l # a mi:s 'kɛr.zy dɔw vi:l xwɛx # ɛw bed 'a.ʒɑ̃s se.ve.na.'dy.rɛl brɛjs #	1	1	0	Skridoù_PHM.txt		cov-1
L103_095	Eus annezidi gentañ Penn-ar-Bed , da aloubadeg ar Romaned .	Eus annezidi gentañ Penn-ar-Bed da aloubadeg ar Romaned.	# øz ɑ̃.ne.'zi.di 'gɛn.tɑ̃ pɛ.'nar.bet # dɑ a.lu.'bɑ.dɛg ar rõ.'mɑ̃.nɛt #	1	1	0	Skridoù_PHM.txt		cov-7
L103_098	Evel ur pempvet ezel eo .	Evel ur pempvet ezel eo.	# 'e.vɛl œr 'pɛm.ved 'e.zɛl ɛw #	1	1	0	Skridoù_PHM.txt		cov-6
L103_101	Evit staliañ panelloù divyezhek dre hanterouriezh .	evit staliañ panelloù divyezhek dre hanterouriezh.	# 'e.vit 'sta.ljɑ̃ pɑ̃.'nɛ.lu diw.'je.zɛg dre hɑ̃n.te.ru.'ri.ɛs #	1	1	0	Skridoù_PHM.txt		cov-3
L103_105	Furmad embann .	Furmad embann.	# 'fyr.mɑd 'em.bɑ̃n #	1	1	0	Skridoù_PHM.txt		cov-1
L103_109	Gallout a rit gwelet ar c'hemmoù en ho testenn , en alberz , amañ dindan .	Gallout a rit gwelet ar c'hemmoù en ho testenn en alberz, amañ dindan.	# 'ga.lud a rit 'gwe.lɛd ar 'xɛ.mu en o 'te.stɛn # en 'al.bɛrs # 'ɑ̃.mɑ̃ 'din.dɑ̃n #	1	1	0	Skridoù_PHM.txt		cov-6
L103_134	Kas an danevell stad .	Kas an danevell stad.	# kaz ɑ̃n dɑ̃.'ne.vɛl stɑ:t #	1	1	0	Skridoù_PHM.txt		cov-4
L103_146	Koad .	Koad.	# kwat #	1	1	0	Skridoù_PHM.txt		cov-5
L103_157	Levrig an aozer a zlefe dont er-maez ac'hann da fin daou vil seizh .	Levrig an aozer a zlefe dont er-maez ac'hann da fin 2007.	# 'lɛw.rig ɑ̃n 'o.zɛr a 'zle.fe dõnd 'er.mɛz 'ah.ɑ̃n dɑ fi:n dɔw vi:l sɛjs #	1	1	0	Skridoù_PHM.txt		cov-5
L103_159	Lorc'het e veze an hini a veze ouzh e zilhad , an tres priziet ar muiañ : ur bluenn baun .	Lorc'het e veze an hini a veze ouzh e zilhad an tres priziet ar muiañ : ur bluenn baun.	# 'lɔrx.ɛd e 've.ze ɑ̃n 'hi.ni a 've.ze uz e 'ziʎ.at # ɑ̃n trɛs 'pri.zjɛd ar 'mɥi.ɑ̃ # œr 'bly.ɛn 'ba.yn #	1	1	0	Skridoù_PHM.txt		cov-6
L103_176	Ober an eskoptioù evit ar brezhoneg .	Ober an eskoptioù evit ar brezhoneg.	# 'o.bɛr ɑ̃n e.skop.'ti.u 'e.vid ar bre.'zõ.nɛk #	1	1	0	Skridoù_PHM.txt		cov-1
L103_204	Ret e oa bet din en em voazañ buan outañ .	Ret e oa bet din en em voazañ buan outañ.	# red e wa bet din en ɛm 'vwɑ.zɑ̃ 'by.ɑ̃n 'u.tɑ̃ #	1	1	0	Skridoù_PHM.txt		cov-5
L103_206	Savet eo gant an degemererien , diwar kaozeadennoù , diwar-benn pleustr o micher .	Savet eo gant an degemererien diwar kaozeadennoù diwar-benn pleustr o micher.	# 'sɑ.vɛd ɛw gɑ̃n ɑ̃n deg.e.me.'rer.jɛn # 'di.war ko.ze.ɑ.'dɛ.nu # di.'war.bɛn pløstr o 'miʃ.ɛr #	1	1	0	Skridoù_PHM.txt		cov-2
L103_207	Sed aze un eil priz bremañ … dija !	Sed aze un eil priz bremañ… dija !	# se:d 'ɑ.ze œn ɛjl pri:s 'bre.mɑ̃ # 'di.ʒɑ #	1	1	0	Skridoù_PHM.txt		cov-7
L103_208	Setu aze livaoueg an arzour .	Setu aze livaoueg an arzour.	# 'se.ty 'ɑ.ze li.'vɔ.wɛg ɑ̃n 'ar.zur #	1	1	0	Skridoù_PHM.txt		cov-7
L103_212	Skignet e vezont e stumm gwerzennoù savet hervez ur sistem metrek , ha rimoù deuet eus an hengoun dre gomz .	Skignet e vezont e stumm gwerzennoù savet hervez ur sistem metrek ha rimoù deuet eus an hengoun dre gomz.	# 'skiɲ.ɛd e 've.zõnd e stym gwɛr.'zɛ.nu 'sɑ.vɛt 'hɛr.vɛz œr 'si.stɛm 'mɛ.trɛk # a 'ri.mu dø:d øz ɑ̃n 'heng.un dre gõms #	1	1	0	Skridoù_PHM.txt		cov-1
L103_229	Teuliad goulenn piaouañ armoù .	Teuliad goulenn piaouañ armoù.	# 'tø.ljat 'gu.lɛn pi.'ɔ.wɑ̃ 'ar.mu #	1	1	0	Skridoù_PHM.txt		cov-4
L103_230	Tier bleuñvek .	Tier bleuñvek.	# 'ti.ɛr 'blœ̃.vɛk #	1	1	0	Skridoù_PHM.txt		cov-2
L103_233	Troc'h Arvorig ar C'hreisteiz .	Troc'h Arvorig ar C'hreisteiz.	# troh ar.'vo.rig ar 'xrɛj.stɛjs #	1	1	0	Skridoù_PHM.txt		cov-3
L103_244	Ur muiañ-niver war-c'hed …	Ur muiañ-niver war-c'hed…	# œr mɥi.ɑ̃.'ni.vɛr 'warh.et #	1	1	0	Skridoù_PHM.txt		cov-6
L103_245	War lein an durumell ez eus ur peulvan , tri virgulenn hanter-kant metrad sav dezhañ .	War lein an durumell ez eus ur peulvan 3,50 metrad sav dezhañ.	# war lɛjn ɑ̃n dy.'ry.mɛl ez øz œr 'pøl.vɑ̃n # tri: virg.'y.lɛn hɑ̃n.'tɛr.kɑ̃n 'mɛ.trat saw 'de.zɑ̃ #	1	1	0	Skridoù_PHM.txt		cov-5
L104_006	Tregont : Ar veurgêr bremañ .	30 : Ar veurgêr bremañ.	# 'treg.õnt # ar 'vœrg.ɛr 'bre.mɑ̃ #	1	1	0	Skridoù_PHM.txt		cov-4
L104_008	Ac'hubet eo ar servijer .	Ac'hubet eo ar servijer.	# ah.'y.bɛd ɛw ar sɛr.'vi.ʒɛr #	1	1	0	Skridoù_PHM.txt		cov-6
L104_014	Amdreiñ e framm .	Amdreiñ e framm.	# 'ɑ̃m.drɛj e frɑ̃m #	1	1	0	Skridoù_PHM.txt		cov-3
L104_022	Arabat disoñjal lazhañ ar gouleier .	Arabat disoñjal lazhañ ar gouleier.	# a.'rɑ.bat di.'zõ.ʒal 'lɑ.zɑ̃ ar gu.'lɛ.jɛr #	1	1	0	Skridoù_PHM.txt		cov-1
L104_029	Ar sifroù en diskouez , padus ha mestroniet eo ar c'hresk .	Ar sifroù en diskouez, padus ha mestroniet eo ar c'hresk.	# ar 'si.fru en 'di.skwɛs # 'pɑ.dys a mɛ.'strõ.njɛd ɛw ar xresk #	1	1	0	Skridoù_PHM.txt		cov-1
L104_031	Atav e vezer o klask aezamant ar vugale .	Atav e vezer o klask aezamant ar vugale.	# 'a.taw e 've.zɛr o klask ɛ.'zɑ̃.mɑ̃nd ar vyg.'ɑ.le #	1	1	0	Skridoù_PHM.txt		cov-2
